排名,电影名,电影详情,电影评分,评价人数,点评
54,饮食男女/飲食男女/EatDrinkManWoman,导演:李安AngLee主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...1994/台湾美国/剧情家庭,9.1,222600,人生不能像做菜，把所有的料都准备好了才下锅。
55,摔跤吧！爸爸/Dangal/我和我的冠军女儿(台)/打死不离3父女(港),导演:涅提·蒂瓦里NiteshTiwari主演:阿米尔·汗AamirKhan/法缇玛...2016/印度/剧情传记运动家庭,9.1,515210,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
56,美国往事/OnceUponaTimeinAmerica/四海兄弟(台)/义薄云天(港),导演:赛尔乔·莱翁内SergioLeone主演:罗伯特·德尼罗RobertDeNiro...1984/意大利美国/犯罪剧情,9.1,191139,往事如烟，无处祭奠。
57,狮子王/TheLionKing/狮子王3D,导演:RogerAllers/罗伯·明可夫RobMinkoff主演:乔纳森·泰勒·托马...1994/美国/剧情动画冒险歌舞家庭,8.9,308541,动物版《哈姆雷特》。
58,钢琴家/ThePianist/战地琴声(台)/战地琴人,导演:罗曼·波兰斯基RomanPolanski主演:艾德里安·布洛迪AdrienBrod...2002/法国德国英国波兰/剧情传记历史战争音乐,9.0,219807,音乐能化解仇恨。
59,天使爱美丽/Lefabuleuxdestind'AméliePoulain/艾蜜莉的异想世界(台)/天使艾米莉,导演:让-皮埃尔·热内Jean-PierreJeunet主演:奥黛丽·塔图AudreyTau...2001/法国德国/喜剧爱情,8.7,519186,法式小清新。
60,七宗罪/Se7en/火线追缉令(台)/7宗罪,导演:大卫·芬奇DavidFincher主演:摩根·弗里曼MorganFreeman/布...1995/美国/剧情犯罪悬疑惊悚,8.7,467947,警察抓小偷，老鼠玩死猫。
61,素媛/소원/许愿/希望：为爱重生(台),导演:李濬益Jun-ikLee主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...2013/韩国/剧情,9.1,204830,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
62,被嫌弃的松子的一生/嫌われ松子の一生/花样奇缘(港)/令人讨厌的松子的一生(台),导演:中岛哲也TetsuyaNakashima主演:中谷美纪MikiNakatani/瑛太E...2006/日本/剧情歌舞,8.9,319271,以戏谑来戏谑戏谑。
63,小鞋子/بچههایآسمان/天堂的孩子/小童鞋,导演:马基德·马基迪MajidMajidi主演:AmirFarrokhHashemian/默罕...1997/伊朗/剧情家庭儿童,9.2,153158,奔跑的孩子是天使。
