排名,电影名,电影详情,电影评分,评价人数,点评
227,无人知晓/誰も知らない/谁知赤子心/无人知晓的夏日清晨,导演:是枝裕和HirokazuKoreeda主演:柳乐优弥YûyaYagira/北浦爱...2004/日本/剧情,9.0,59550,我的平常生活就是他人的幸福。
228,非常嫌疑犯/TheUsualSuspects/刺激惊爆点(台)/普通嫌疑犯,导演:布莱恩·辛格BryanSinger主演:史蒂芬·鲍德温StephenBaldwin/...1995/德国美国/剧情犯罪悬疑惊悚,8.6,120279,我不信仰上帝，但我敬畏上帝。
229,叫我第一名/FrontoftheClass/开放有爱/站在教室前,导演:彼得·维纳PeterWerner主演:詹姆斯·沃克JamesWolk/特里特·...2008/美国/剧情传记,8.6,112015,乐观比一切都有力量。
230,疯狂的石头/CrazyStone,导演:宁浩HaoNing主演:郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin2006/中国大陆香港/喜剧犯罪,8.3,327128,中国版《两杆大烟枪》。
231,穆赫兰道/MulhollandDr./穆荷兰大道(台)/失忆大道(港),导演:大卫·林奇DavidLynch主演:娜奥米·沃茨NaomiWatts/劳拉·哈...2001/法国美国/剧情悬疑惊悚,8.3,242411,大卫·林奇的梦境迷宫。
232,勇士/Warrior/勇者无敌(台)/钢铁斗士(港),导演:加文·欧康诺GavinO'Connor主演:汤姆·哈迪TomHardy/乔尔·...2011/美国/剧情运动家庭,8.9,90011,热血沸腾，相当完美的娱乐拳击大餐。
233,无敌破坏王/Wreck-ItRalph/破坏王拉尔夫/破坏王大冒险,导演:瑞奇·莫尔RichMoore主演:约翰·C·赖利JohnC.Reilly/萨拉...2012/美国/喜剧动画奇幻冒险,8.6,190321,迪士尼和皮克斯拿错剧本的产物。
234,国王的演讲/TheKing'sSpeech/皇上无话儿(港)/王者之声：宣战时刻(台),导演:汤姆·霍珀TomHooper主演:柯林·菲尔斯ColinFirth/杰弗里·...2010/英国澳大利亚美国/剧情传记历史,8.3,351358,皇上无话儿。
235,步履不停/歩いても歩いても/横山家之味(港)/步伐不停,导演:是枝裕和HirokazuKoreeda主演:阿部宽HiroshiAbe/夏川结衣Yu...2008/日本/剧情家庭,8.8,76875,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
236,血钻/BloodDiamond/血腥钻石/滴血钻石,导演:爱德华·兹威克EdwardZwick主演:莱昂纳多·迪卡普里奥Leonardo...2006/美国德国/剧情惊悚冒险,8.5,137377,每个美丽事物背后都是滴血的现实。
237,上帝也疯狂/TheGodsMustBeCrazy/众神也疯狂(上)/上帝一定发疯了(上),导演:JamieUys主演:MariusWeyers/SandraPrinsloo/N!xau1980/博茨瓦纳南非/喜剧,8.6,98921,纯净原始的笑与感动。
238,彗星来的那一夜/Coherence/相干性/相干效应,导演:詹姆斯·沃德·布柯特JamesWardByrkit主演:艾米丽·芭尔多尼Em...2013/美国英国/科幻悬疑惊悚,8.4,186142,小成本大魅力。
239,枪火/鎗火/TheMission,导演:杜琪峰JohnnieTo主演:吴镇宇FrancisNg/任达华SimonYam/...1999/香港/剧情动作犯罪,8.6,102988,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
240,蓝色大门/藍色大門/蓝色夏恋/BlueGateCrossing,导演:易智言Chih-yenYee主演:陈柏霖Bo-linChen/桂纶镁LunmeiKwa...2002/台湾法国/剧情爱情同性,8.3,278336,青春的窃窃私语。
241,大卫·戈尔的一生/TheLifeofDavidGale/铁案悬谜/命悬一线,导演:AlanParker主演:凯文·史派西KevinSpacey/凯特·温丝莱特Kat...2003/美国德国英国/剧情犯罪悬疑,8.6,96687,捍卫人权只是信仰，一点不妨碍其行为的残忍。
242,遗愿清单/TheBucketList/玩转身前事(港)/一路玩到挂(台),导演:罗伯·莱纳RobReiner主演:杰克·尼科尔森JackNicholson/摩根...2007/美国/冒险喜剧剧情,8.5,133542,用剩余不多的时间，去燃烧整个生命。
243,我爱你/그대를사랑합니다/爱你/爱，是一生相伴(台),导演:秋昌民Chang-minChoo主演:宋在河Jae-hoSong/李顺载Soon-jae...2011/韩国/剧情爱情,9.0,59620,你要相信，这世上真的有爱存在，不管在什么年纪
244,千钧一发/Gattaca/变种异煞/自然人,导演:安德鲁·尼科尔AndrewNiccol主演:伊桑·霍克EthanHawke/乌玛...1997/美国/剧情科幻,8.7,89085,一部能引人思考的科幻励志片。
245,荒岛余生/CastAway/浩劫重生(台)/劫后重生(港),导演:罗伯特·泽米吉斯RobertZemeckis主演:汤姆·汉克斯TomHanks/...2000/美国/冒险剧情,8.5,138804,一个人的独角戏。
246,爱·回家/집으로.../外婆的家/回家路上,导演:李廷香Jeong-hyangLee主演:金艺芬Eul-boonKim/俞承豪Seung-...2002/韩国/剧情家庭,9.0,48653,献给所有外婆的电影。
247,黑鹰坠落/BlackHawkDown/黑鹰降落/黑鹰计划,导演:雷德利·斯科特RidleyScott主演:乔什·哈奈特JoshHartnett/...2001/美国/动作历史战争,8.5,118915,还原真实而残酷的战争。
248,麦兜故事/麥兜故事/麦兜的故事/MyLifeasMcDull,导演:袁建滔ToeYuen主演:李晋纬/林海峰JanLamb/吴君如SandraNg2001/香港/剧情喜剧动画,8.5,131343,麦兜是一只很哲学的猪。
249,聚焦/Spotlight/焦点追击(港)/惊爆焦点(台),导演:托马斯·麦卡锡ThomasMcCarthy主演:马克·鲁弗洛MarkRuffalo/...2015/美国/剧情传记,8.8,130708,Null
250,暖暖内含光/EternalSunshineoftheSpotlessMind/暧暧内含光/美丽心灵的永恒阳光,导演:米歇尔·冈瑞MichelGondry主演:金·凯瑞JimCarrey/凯特·温...2004/美国/剧情爱情奇幻,8.4,148381,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。
